doi_r,doi_o,url_r,url_o,ref_r,ref_o,abstract_r,year_r,year_o,type,outcome,outcome_quote,outcome_quote_source,source
10.1111/psyp.13419,10.1002/clc.22410Digital Object Identifier (DOI),,https://doi.org/10.1002/ajhb.21164,"Tabitha A. Iseger, Madelon A. Vollebregt, Noralie Krepel, Martijn Arns (2019) Heart rate variability related to season of birth: A replication study. Psychophysiology.",Kiviniemi · 2011,"Low heart rate variability (HRV) has strongly been associated with an increased risk for cardiovascular disease. With cardiovascular disease being the number one cause of global deaths, factors that influence its development are relevant to understand. Season of birth has been suggested as one of the factors influencing the development of HRV. The current study was set up to replicate the finding that men born in winter have higher HRV later in life compared to those born in other seasons. To this end, we studied a sample of 1,871 healthy participants from the Brain Resource International Database during rest and during task. Furthermore, sex and age differences and associations with personality traits and psychiatric symptoms were explored. We replicated the earlier finding that men born in winter have a lower ratio of low frequency (LF) power to high frequency (HF) power during rest compared to summer and fall, and, although less pronounced, higher HF compared to summer. A difference between summer and winter for LF/HF in men was internally replicated using data recorded during task. Additionally, for both sexes, LF/HF ratio increased with age, and LF and HF both decreased. In general, LF/HF was lower in women, but heart rate was higher. In men, low HRV was associated with depression and the personality trait openness. In conclusion, results from a large multicenter data set covering the entire lifespan demonstrate that HRV changes with age in both sexes and confirm that season of birth influences HRV later in life in men.",2019.0,2011,replication,success,replicated,abstract,openalex
10.31234/osf.io/prfm3,10.1177/1948550612466115,,https://doi.org/10.1177/1948550612466115,"Hannah Pearson, Benjamin Balas (2020) Can naive observers detect suicidality in face images? A replication and extension of Kleiman and Rule (2013).","Sela Kleiman, Nicholas O. Rule (2012) Detecting Suicidality From Facial Appearance. Social Psychological and Personality Science.","Naive observers make a wide range of social judgments from face images, including estimations of mental health (e.g. depression, schizotypy). Such judgments may inform interactions between care providers and patients, including diagnosis. Kleiman and Rule (2013) demonstrated that naive observers could categorize static images at above chance levels according to suicidality and that the faces of individuals who died by suicide were rated as more impulsive than control faces. We attempted to replicate these results with a larger sample and extended the original report by implementing a 2AFC paradigm that minimizes response bias. We found that suicidality categorization was above-chance using the original testing paradigm, but performance dropped to chance in our 2AFC task. We found no evidence supporting differences in perceived impulsivity across categories in either paradigm. We discuss these outcomes from theoretical and methodological perspectives, and outline new directions for further research investigating social vision in clinical contexts.",2020.0,2012,replication,failure,"Overall, our data largely support the results reported in the Kleiman & Rule’s original manuscript",abstract,openalex
10.1037/a0023597,10.1111/j.1467-6494.1949.tb01241.x,,https://doi.org/10.1111/j.1467-6494.1949.tb01241.x,"John M. Horner, San K. Tung (2011) Playing Cards with Thomas Kuhn: A Critical Reexamination of the Bruner and Postman (1949) Experiment. Review of General Psychology.","Jerome S. Bruner, Leo Postman (1949) ON THE PERCEPTION OF INCONGRUITY: A PARADIGM. Journal of Personality.","Two experiments replicated Bruner and Postman (1949) , on which Kuhn (1962 , 1970 ) relied in his argument that humans resist experience that is incongruous with their expectations—an argument essential to Kuhn's thesis of scientific revolutions. The first experiment measured reaction times for identifying playing card stimuli in three conditions: (a) where all the stimuli were standard playing cards, (b) where stimuli had color reversed (trick), or (c) which included both regular and trick card stimuli (mixed set). Participants were equally adept at identifying regular and trick stimuli in homogenous sets but took longer to identify the same stimuli in a mixed set. The second experiment, a conceptual replication of Bruner and Postman's original experiment, obtained recognition thresholds for regular and trick stimuli while measuring participants’ frustration. Participants responded similarly to procedural difficulties for both trick and regular stimuli. An analysis of participants’ responses shows that participants used systematic trial-and-error strategy to identify any ambiguous stimulus. These findings are inconsistent with an interpretation of resistance to incongruities.",2011.0,1949,replication,mixed,“These findings are inconsistent with an interpretation of resistance to incongruities.”,abstract,openalex
10.1080/14616696.2017.1290265,10.1086/596443,,https://doi.org/10.1086/596443,"Carlo Barone, Lucia Ruggera (2017) Educational equalization stalled? Trends in inequality of educational opportunity between 1930 and 1980 across 26 European nations. European Societies.",Breen · 2009,"ABSTRACT This article assesses trends over time in the influence of social origins on educational attainment in 26 European countries. We use a cumulative dataset that merges the European Social Survey (waves 2002–2010), the International Social Survey Programme (1999, 2009) and the European Value Study (2008). Our contribution to the literature is threefold. First, we replicate as closely as possible the previous study by Breen et al. [(2009) ‘Nonpersistent in educational attainment: Evidence from eight European countries’, American Journal of Sociology 114: 1475–1521] and extend it to a larger set of countries and to more recent cohorts. Second, we reassess the argument that equalization does not involve Higher Education. Third, we consider whether our conclusions change if we use a more comprehensive measurement of social origins that jointly incorporates indicators of social class, social status and parental education. We detect a generalized reduction of educational inequalities in the post-war decades. When we focus on Higher Education, we still detect evidence of equalization, although to a lower extent. Our analyses do not support the claim that, when using a more comprehensive treatment of social origins, the patterns for different indicators evolve in opposite directions.",2017.0,2009,replication,success,"""We replicate as closely as possible the previous study by Breen et al. [...] and extend it to a larger set of countries and to more recent cohorts. We detect a generalized reduction of educational inequalities...""",abstract,openalex
https://aisel.aisnet.org/trr/vol7/iss1/3,10.1016/j.im.2015.06.009,https://aisel.aisnet.org/trr/vol7/iss1/3,https://doi.org/10.1016/j.im.2015.06.009,Kumar · 2021 · UA Campus Repository (The University of Arizona),"Pei‐Fang Hsu, HsiuJu Rebecca Yen, Jung-Ching Chung (2015) Assessing ERP post-implementation success at the individual level: Revisiting the role of service quality. Information & Management.","This study is a conceptual replication of the study by Han et al. (2015) in which the authors evaluated factors affecting students’ compliance with emergency instructions during campus emergencies. The current study focused on broader public health-related emergencies using eight scenarios evaluated by Amazon Mechanical Turk (AMT) participants. Analysis on the aggregated data showed that subjective norm and trust in information quality positively affected intention to comply with instructions, consistent with the original study. Three follow up analyses provide more nuanced results. First, an abridged dataset was created by filtering out participants whose reasons for non-immediate compliance weren't related to verifying information and then complying. Analysis on this dataset showed that subjective norm no longer positively affected intention to comply. Second, scenarios used in the study were grouped by characteristics such as development speed, frequency, and area affected, and the analysis was redone. Factors affecting intention to comply immediately changed based on the characteristic, with subjective norm positively affected intention to comply in slow-developing scenarios, scenarios that affect at a limited area, and commonly occurring scenarios, while trust in information quality affects the other scenarios. Third, recall of information from the notification was collected from participants and analyzed. Results show that participants who chose to comply immediately recalled more information than others. Our replication study shows some support for the original conclusions; however, the broader setting and more nuanced analyses show also differences between both studies.",2021.0,2015,replication,mixed,Our replication study shows some support for the original conclusions,abstract,openalex
10.1016/j.jecp.2015.11.007,10.1111/j.1467-7687.2009.00881.x,,https://doi.org/10.1111/j.1467-7687.2009.00881.x,"Irene Symeonidou, Iroise Dumontheil, Wing-Yee Chow, Richard Breheny (2015) Development of online use of theory of mind during adolescence: An eye-tracking study. Journal of Experimental Child Psychology.","Trix Cacchione, Josep Call (2009) Intuitions about gravity and solidity in great apes: the tubes task. Developmental Science.","We investigated the development of theory of mind use through eye-tracking in children (9-13years old, n=14), adolescents (14-17.9years old, n=28), and adults (19-29years old, n=23). Participants performed a computerized task in which a director instructed them to move objects placed on a set of shelves. Some of the objects were blocked off from the director's point of view; therefore, participants needed to take into consideration the director's ignorance of these objects when following the director's instructions. In a control condition, participants performed the same task in the absence of the director and were told that the instructions would refer only to items in slots without a back panel, controlling for general cognitive demands of the task. Participants also performed two inhibitory control tasks. We replicated previous findings, namely that in the director-present condition, but not in the control condition, children and adolescents made more errors than adults, suggesting that theory of mind use improves between adolescence and adulthood. Inhibitory control partly accounted for errors on the director task, indicating that it is a factor of developmental change in perspective taking. Eye-tracking data revealed early eye gaze differences between trials where the director's perspective was taken into account and those where it was not. Once differences in accuracy rates were considered, all age groups engaged in the same kind of online processing during perspective taking but differed in how often they engaged in perspective taking. When perspective is correctly taken, all age groups' gaze data point to an early influence of perspective information.",2015.0,2010,replication,success,"We replicated previous findings, namely that in the director-present condition, but not in the control condition, children and adolescents made more errors than adults, suggesting that theory of mind use improves between adolescence and adulthood.",abstract,openalex
10.31234/osf.io/m6ghr,10.1177/0956797611420166,,https://doi.org/10.1177/0956797611420166,"Joshua M. Tybur, Benedict C. Jones, Lisa M. DeBruine, Joshua T. Ackerman, Vanessa Fasolt (2020) Preregistered replication of “Sick body, vigilant mind: The biological immune system activates the behavioral immune system”.","Saul L. Miller, Jon K. Maner (2011) Sick Body, Vigilant Mind. Psychological Science.","The tendency to attend to and avoid cues to pathogens varies across individuals and contexts. Researchers have proposed that this variation is partially driven by immunological vulnerability to infection, though support for this hypothesis is equivocal. One key piece of evidence finds that recently ill participants – who may have a reduced ability to combat subsequent infection – allocate more attention to faces with infectious disease cues than do participants who have not recently been ill. The current manuscript reports a direct replication of this study using a sample of 402 individuals from the University of Michigan, the University of Glasgow, and VU Amsterdam – over four times the sample size of the original study. No effect of illness recency on attentional bias for disfigured faces emerged. Though not supporting the original finding, this replication provides suggestions for future directions for research on the psychological underpinnings of pathogen avoidance.",2020.0,2011,replication,failure,"No effect of illness recency on attentional bias for disfigured faces emerged. Though not supporting the original finding, this replication provides suggestions for future directions for research on the psychological underpinnings of pathogen avoidance.",abstract,openalex
10.18148/srm/2016.v10i2.6274,10.18148/srm/2013.v7i3.5458,,https://doi.org/10.18148/srm/2013.v7i3.5458,"Daniele Toninelli, Mélanie Revilla (2015) Smartphones vs PCs: Does the Device Affect the Web Survey Experience and the Measurement Error for Sensitive Topics? - A Replication of the Mavletova &amp; Couper’s 2013 Experiment. Repositori digital de la UPF (Universitat Pompeu Fabra).","Aigul Mavletova, Mick P. Couper (2012) Sensitive Topics in PC Web and Mobile Web Surveys: Is There a Difference?. DOAJ (DOAJ: Directory of Open Access Journals).","More and more respondents use mobile devices to complete web surveys. These devices have different characteristics, if compared to PCs (e.g. smaller screen sizes and higher portability). These characteristics can affect the survey responses, mostly when a questionnaire includes sensitive questions. This topic was already studied by Mavletova and Couper (2013), through a two-wave experiment comparing PCs and mobile devices results for the same respondents in a Russian opt-in panel. We replicated this cross-over design, focusing on an opt-in panel for Spain, involving 1,800 panellists and comparing PCs and smartphones. Our results support most of Mavletova and Couper’s (2013) findings (e.g. generally the used device does not significantly affect the reporting of sensitive information), confirming their robustness over the two studied countries. For other results (e.g. trust in data confidentiality), we found differences that can be justified by the diverse context/culture or by the quick changes that are still characterizing the mobile web survey participation.",2015.0,2012,replication,success,Our results support most of Mavletova and Couper’s (2013) findings,abstract,openalex
10.1093/alcalc/agaa009,10.1007/s00213-010-1872-1,,https://doi.org/10.1007/s00213-010-1872-1,"Nina Tello, Nématollah Jaafari, Armand Chatard (2020) Effects of Evaluative Conditioning on Implicit Evaluation of Alcohol and Drinking Behaviors: A Direct Replication. Alcohol and Alcoholism.","Katrijn Houben, Remco C. Havermans, Reínout W. Wiers (2010) Learning to dislike alcohol: conditioning negative implicit attitudes toward alcohol and its effect on drinking behavior. Psychopharmacology.","AIMS: Recent research suggests that evaluative conditioning (EC) can change implicit evaluations of alcohol and reduce drinking behaviors among college students (Houben et al., 2010a). This research has been conceptually replicated in two previous studies. To date, however, no direct and independent replication of the original study has been performed. In this paper, we report a high-powered direct replication of Houben et al.'s (2010a) study. METHOD: About 168 French college students took part in this preregistered study. Drinking behavior was assessed before and 2 weeks after the intervention. The intervention consisted of 120 trials of words related to alcoholic beverages or soft drinks paired with neutral, positive or negative pictures. The two conditions were factually equivalent and differed only in the repeated pairing between alcohol-related words and negative pictures; in the EC condition, but not in the control condition, alcohol-related words were systematically paired with negative pictures. RESULTS: EC did not change participants' implicit evaluations of alcohol and drinking behaviors. However, EC reduced drinking behaviors among hazardous drinkers. Yet, further non-preregistered Bayesian analysis did not provide much support for this hypothesis. CONCLUSION: This high-powered preregistered direct replication of Houben et al.'s (2010a) study suggests that the original effects are more fragile than initially thought. The effect of EC on drinking behaviors may be restricted to heavy drinkers, and we found no evidence that this effect is mediated by a change in implicit attitudes. It is necessary to perform further studies to test the original effects in clinical populations.",2020.0,2010,replication,failure,"This high-powered preregistered direct replication of Houben et al.'s (2010a) study suggests that the original effects are more fragile than initially thought. The effect of EC on drinking behaviors may be restricted to heavy drinkers, and we found no evidence that this effect is mediated by a change in implicit attitudes.",abstract,openalex
10.3389/fpsyg.2016.01930,10.1016/j.cognition.2012.04.008,,https://doi.org/10.1016/j.cognition.2012.04.008,"Michael Wiemers, Martin H. Fischer (2016) Effects of Hand Proximity and Movement Direction in Spatial and Temporal Gap Discrimination. Frontiers in Psychology.","Davood G. Gozli, Greg L. West, Jay Pratt (2012) Hand position alters vision by biasing processing through different visual pathways. Cognition.","Previous research on the interplay between static manual postures and visual attention revealed enhanced visual selection near the hands (near-hand effect). During active movements there is also superior visual performance when moving toward compared to away from the stimulus (direction effect). The ""modulated visual pathways"" hypothesis argues that differential involvement of magno- and parvocellular visual processing streams causes the near-hand effect. The key finding supporting this hypothesis is an increase in temporal and a reduction in spatial processing in near-hand space (Gozli et al., 2012). Since this hypothesis has, so far, only been tested with static hand postures, we provide a conceptual replication of Gozli et al.'s (2012) result with moving hands, thus also probing the generality of the direction effect. Participants performed temporal or spatial gap discriminations while their right hand was moving below the display. In contrast to Gozli et al. (2012), temporal gap discrimination was superior at intermediate and not near hand proximity. In spatial gap discrimination, a direction effect without hand proximity effect suggests that pragmatic attentional maps overshadowed temporal/spatial processing biases for far/near-hand space.",2016.0,2012,replication,failure,". In contrast to Gozli et al. (2012), temporal gap discrimination was superior at intermediate and not near hand proximity. In spatial gap discrimination, a direction effect without hand proximity effect suggests that pragmatic attentional maps overshadowed temporal/spatial processing biases for far/near-hand space.",abstract,openalex
10.5117/2017.045.002.002,10.1037/0022-3514.86.1.57,,https://doi.org/10.1037/0022-3514.86.1.57,"Monique Pollmann, Marije van Amelsvoort, Marjolijn L. Antheunis, Debby Damen, Loes Janssen, Emiel Krahmer, Alfons Maes, Juliëtte Schaafsma, Alexander Schouten, Per van der Wijst (2017) Boosheid en blijdschap in onderhandelingen. Tijdschrift voor Communicatiewetenschappen.","Gerben A. van Kleef, Carsten K. W. De Dreu, Antony S. R. Manstead (2004) The Interpersonal Effects of Anger and Happiness in Negotiations. Journal of Personality and Social Psychology.","According to an influential study by Van Kleef, De Dreu and Manstead (2004a), people make more concessions with an angry person than with a happy negotiating partner. However, how robust and strong this effect is is unclear. In an independent direct replication, we confirm that people who negotiate with an angry negotiating partner make more concessions than people who negotiate with a happy negotiating partner.",2017.0,2004,replication,success,In an independent direct replication we find almost the same pattern of results as the original study. We conclude that the effect is of medium size and robust.,abstract,openalex
10.1353/eca.2016.0000,10.1093/ser/mwm006,,https://doi.org/10.1093/ser/mwm006,"Vivekinan Ashok, Ilyana Kuziemko, Ebonya Washington (2016) Support for Redistribution in an Age of Rising Inequality: New Stylized Facts and Some Tentative Explanations. Brookings Papers on Economic Activity.","Lane Kenworthy, Leslie McCall (2007) Inequality, public opinion and redistribution. Socio-Economic Review.","Despite the large increases in economic inequality since 1970, American survey respondents exhibit no increase in support for redistribution, contrary to the predictions from standard theories of redistributive preferences. We replicate these results but further demonstrate substantial heterogeneity by demographic group. In particular, the two groups that have most moved against income redistribution are the elderly and African Americans. We find little evidence that these subgroup trends are explained by relative economic gains or growing cultural conservatism, two common explanations. We further show that the trend among the elderly is uniquely American, at least relative to other developed countries with comparable survey data. While we are unable to provide definitive evidence on the cause of these two groups’ declining redistributive support, we provide additional correlations that may offer fruitful directions for future research on the topic. One story consistent with the data on elderly trends is that older Americans worry that redistribution will come at their expense, in particular through cuts to Medicare. We find that the elderly have grown increasingly opposed to government provision of health insurance and that controlling for this tendency explains about 40 percent of their declining support for redistribution. For blacks, controlling for their declining support for race-targeted aid explains nearly 45 percent of their differential decline in redistributive preferences, which raises a further question: Why has support for race-targeted aid fallen during a period when black economic catch-up to whites has stalled?",2016.0,2008,replication,success,We replicate these results but further demonstrate substantial heterogeneity by demographic groups.,abstract,openalex
10.1098/rsos.190699,10.1037/xhp0000541,,https://doi.org/10.1037/xhp0000541,"Sarah A. H. Alharbi, Katherine S. Button, Lingshan Zhang, Kieran J. O’Shea, Vanessa Fasolt, Anthony J. Lee, Lisa M. DeBruine, Benedict C. Jones (2020) Are affective factors related to individual differences in facial expression recognition?. Royal Society Open Science.","Nick Berggren, Martin Eimer (2018) Object-based target templates guide attention during visual search. Journal of Experimental Psychology Human Perception & Performance.","Evidence that affective factors (e.g., anxiety, depression, affect) are significantly related to individual differences in emotion recognition is mixed. Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks), but not a third measure (the Multimodal Emotion Recognition Test). By contrast, facial- expression recognition was not significantly correlated with measures of depression, positive or negative affect, empathy, or autistic-like traits. Because the range of affective factors considered in this study and its use of multiple expression-recognition tasks mean that it is a relatively comprehensive investigation of the role of affective factors in facial expression recognition, we propose to carry out a direct replication.",2019.0,2018,replication,mixed,"Palermo et al. (2018) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition, but not a third measure. By contrast, facial-expression recognition was not significantly correlated with measures of depression, positive or negative affect, empathy, or autistic-like traits.",abstract,openalex
10.17705/1atrr.00067,10.25300/misq/2018/13858,,https://doi.org/10.25300/misq/2018/13858,"Miranda Kajtazi, Nicklas Holmberg, Saonee Sarker, Christina Keller, Björn Johansson, Olgerta Tona (2021) Toward a Unified Model of Information Security Policy Compliance: A Conceptual Replication Study. Journal of the Association for Information Systems.",Moody · 2018,"Moody et al. (2018) presented a unified model of information security policy compliance (UMISPC) to explain information systems security (ISS) behaviors. The model was empirically tested against 3 main types of security-related behavior: USB practices, not locking computers appropriately, and password issues. In this study, we present a conceptual replication of Moody et al. (2018) in order to provide stronger empirical support. To this end, our study has empirically examined UMISPC through three types of ISS behaviors within a work environment in the European Union (EU), where General Data Protection Regulation (GDPR) is in force. The replication of the empirical study with the three scenarios is original. While the replication in general highlights the strength of UMISPC, the results also indicate some differences from the original study and show that there is still room for improving some of its theoretical concepts.",2021.0,2018,replication,mixed,"While the replication in general highlights the strength of UMISPC, the results also indicate some differences from the original study and show that there is still room for improving some of its theoretical concepts.",abstract,openalex
10.31234/osf.io/qn7pt,10.1007/s10508-009-9559-6,,https://doi.org/10.1007/s10508-009-9559-6,"Victor Kenji Medeiros Shiramizu, Lisa M. DeBruine, David R. Feinberg, Benedict C. Jones (2021) Sexual orientation predicts women’s preferences for sexually dimorphic face-shape characteristics.","Aaron N. Glassenberg, David R. Feinberg, Benedict C. Jones, Anthony C. Little, Lisa M. DeBruine (2009) Sex-Dimorphic Face Shape Preference in Heterosexual and Homosexual Men and Women. Archives of Sexual Behavior.","Trade-off theories of women’s masculinity preferences propose that women’s masculinity preferences vary according to the probability of reproduction. Consistent with the proposal that preferences for masculine men are stronger when probability of reproduction is higher, previous research reported that heterosexual women show stronger preferences for images of male faces displaying masculine shape characteristics than do homosexual women (Glassenberg et al., 2010). However, many reported findings for individual differences in women’s masculinity preferences have not been replicated in subsequent studies. Consequently, we carried out a direct replication of Glassenberg et al’s (2010) comparison of heterosexual and homosexual women’s preferences for sexually dimorphic face-shape characteristics. Replicating the results from Glassenberg et al. (2010), we found that heterosexual women (N = 20,360) showed stronger preferences for masculine men that did homosexual women (N = 1598). This finding is consistent with the proposal that women’s preferences for masculine men are stronger when the probability of reproduction is higher, presenting further evidence for trade-off theories of women’s masculinity preferences.",2021.0,2009,replication,success,"Consistent with the proposal that preferences for masculine men are stronger when probability of reproduction is higher, previous research reported that heterosexual women show stronger preferences for images of male faces displaying masculine shape characteristics than do homosexual women (Glassenberg et al., 2010). However, many reported findings for individual differences in women’s masculinity preferences have not been replicated in subsequent studies. Consequently, we carried out a direct replication of Glassenberg et al’s (2010) comparison of heterosexual and homosexual women’s preferences for sexually dimorphic face-shape characteristics.",abstract,openalex
10.1016/j.nicl.2020.102441,10.1016/j.neuron.2004.12.006,,https://doi.org/10.1016/j.neuron.2004.12.006,"Vivien Günther, Anja Hußlack, Anna-Sophie Weil, Anna Bujanow, Jeanette Henkelmann, Anette Kersting, Markus Quirin, Karl‐Titus Hoffmann, Boris Egloff, Donald Lobsien, Thomas Suslow (2020) Individual differences in anxiety and automatic amygdala response to fearful faces: A replication and extension of Etkin et al. (2004). NeuroImage Clinical.","Amit Etkin, Kristen C. Klemenhagen, Joshua T. Dudman, M.T. Rogan, René Hen, Eric R. Kandel, Joy Hirsch (2004) Individual Differences in Trait Anxiety Predict the Response of the Basolateral Amygdala to Unconsciously Processed Fearful Faces. Neuron.","Trait anxiety refers to the stable tendency to attend to threats and experience fears and worries across many situations. According to the widely noticed, pioneering investigation by Etkin et al. (2004) trait anxiety is strongly associated with reactivity in the right basolateral amygdala to non-conscious threat. Although this observation was based on a sample of only 17 individuals, no replication effort has been reported yet. We reexamined automatic amygdala responsiveness as a function of anxiety in a large sample of 107 participants. Besides self-report instruments, we administered an indirect test to assess implicit anxiety. To assess early, automatic stages of emotion processing, we used a color-decision paradigm presenting brief (33 ms) and backward-masked fearful facial expressions. N = 56 participants were unaware of the presence of masked faces. In this subset of unaware participants, the relationship between trait anxiety and basolateral amygdala activation by fearful faces was successfully replicated in region of interest analyses. Additionally, a relation of implicit anxiety with masked fear processing in the amygdala and temporal gyrus was observed. We provide evidence that implicit measures of affect can be valuable predictors of automatic brain responsiveness and may represent useful additions to explicit measures. Our findings support a central role of amygdala reactivity to non-consciously perceived threat in understanding and predicting dispositional anxiety, i.e. the frequency of spontaneously occurring anxiety in everyday life.",2020.0,2004,replication,success,". In this subset of unaware participants, the relationship between trait anxiety and basolateral amygdala activation by fearful faces was successfully replicated in region of interest analyses",abstract,openalex
10.13023/etd.2019.180,10.1097/psy.0000000000000479,,https://doi.org/10.1097/psy.0000000000000479,"Elana M. Gloger (2019) Cognition, Repetitive Thought, and Systemic Inflammation in the Midlife in the United States Study. UKnowledge (University of Kentucky).","Suzanne C. Segerstrom, Rebecca G. Reed, April B. Scott (2017) Intelligence and Interleukin-6 in Older Adults: The Role of Repetitive Thought. Psychosomatic Medicine.","Segerstrom et al. (2017) found that more repetitive thought (RT) was related to lower interleukin-6 (IL-6), in older adults at average IQ. This study aimed to replicate and extend this finding in midlife adults, with a daily measure of RT, and additional inflammatory biomarkers. 153 participants were drawn from the Midlife in the United States (MIDUS) Refresher project; ages 25-70 (M = 45.07, SD = 10.96), 50.3% female, and 83% Caucasian. Cognition was assessed via the Brief Test of Adult Cognition by Telephone, biological data via fasted blood draw, and RT data were collected as part of the National Study of Daily Experiences daily diary. Total RT (amount one engages in RT) and RT valence (positive vs. negative thought content) were analyzed. As IQ increased, more positive RT was associated with lover levels of IL-6 and CRP after adjusting for age, BMI, and statin use (β = -.161, p = .029; β = -.240, p = .002). Results did not replicate Segerstrom et al. (2017) but suggested that crystallized intelligence and RT total reflect a cognitive system different than that of fluid intelligence, executive functioning, and RT valence. Future studies should continue to investigate effects of RT on health outcomes.",2019.0,2017,replication,failure,"Results did not replicate Segerstrom et al. (2017) but suggested that crystallized intelligence and RT total reflect a cognitive system different than that of fluid intelligence, executive functioning, and RT valence. Future studies should continue to investigate effects of RT on health outcomes.",abstract,openalex
10.23668/psycharchives.4766,10.2307/749455,,https://doi.org/10.2307/749455,"Christina Artemenko, Nicolas Masson, Carrie Georges, Hans‐Christoph Nuerk, Krzysztof Cipora (2021) Not all Elementary School Teachers are Scared of Math. Digital Access to Libraries (Université catholique de Louvain (UCL), l'Université de Namur (UNamur) and the Université Saint-Louis (USL-B)).","Ray Hembree (1990) The Nature, Effects, and Relief of Mathematics Anxiety. Journal for Research in Mathematics Education.","Teachers are strong role models for their pupils, especially at the very beginning of education, and as such, pupils tend to share their teacher’s attitudes. This also holds true for math: If teachers feel anxious about math, the consequences on the mathematical education of their pupils is detrimental. Previous studies have shown that (future) elementary school teachers have higher levels of math anxiety than most people studying other subjects. Here, we set out to conceptually replicate these findings (e.g., meta-analysis by Hembree, 1990) by comparing math anxiety levels of pre-service and in-service German and Belgian elementary school teachers to a reference group of German university students from various fields of study. Moreover, we questioned this finding by asking which elementary school teachers experience math anxiety, considering gender, specialization, and experience, and investigated how math anxiety relates to teaching attitudes towards math. We replicated the previous finding by showing that female elementary school teachers have a higher level of math anxiety as compared to other female students. Importantly, female elementary school teachers without math specialization indeed had higher levels of math anxiety than female students from other fields. In contrast, female elementary school teachers with math specialization did not show an increased level of math anxiety as compared to the reference sample. Considering that not only these but all teachers, regardless of specialization, teach math in elementary school in the investigated educational systems, the math anxiety of elementary school teachers is a potential problem for their pupils’ math attitudes and learning.",2021.0,1990,replication,success,We replicated the previous finding by showing that female elementary school teachers have a higher level of math anxiety as compared to other female students.,abstract,openalex
10.31979/mrj.2020.1607,10.1037/tps0000068,,https://doi.org/10.1037/tps0000068,Hifsa Khan (2020) Behavioral Economic Analysis of Demand for Hypothetical Work Performance: A Partial Replication.,"Amy J. Henley, Florence D. DiGennaro Reed, Brent A. Kaplan, Derek D. Reed (2016) Quantifying efficacy of workplace reinforcers: An application of behavioral economic demand to evaluate hypothetical work performance. Translational Issues in Psychological Science.","Operant behavioral economics is a field that analyzes human decision making by combining concepts of behavioral psychology and consumer demand theory. A relatively new and effective method of collecting data in behavioral economics is the hypothetical purchase task (HPT), which reveals consumers’ demand for a commodity as price increases by asking participants to respond to hypothetical situations rather than having them work for and consume the commodity. Henley, Reed, Kaplan, and Reed (2016) extended the HPT to create a novel task (the Hypothetical Work Task; HWT) to assess workers’ demand for payment under increasing conditions of work effort. Their study demonstrated the potential for HWTs in organizational behavior management (OBM), but researchers noted three main limitations: (a) their use of college students as participants, (b) the type of work task, which involved passing out flyers on a college campus, and (c) relatively small sample sizes for group comparisons. In the current study, we replicated one of Henley et al.’s experiments while addressing these limitations. First, we assessed the HWT in working adults rather than college students. Second, we used a work task that is more representative of some workplaces (i.e., making sales calls). Third, we used larger sample sizes to increase statistical power. We asked participants to rate how likely they were to make a certain number of sales phone calls (0 = will not make the phone calls to 100 = will definitely make the phone calls) to earn $15 at the end of an hour of work. The number of calls to earn the $15 was systematically increased from 1 to 150. Compared to those with no sales experience, participants with sales experience showed higher levels of demand in the face of increasing prices (i.e., more inelastic demand). Our study did not replicate the findings of Henley et al. but did extend the HWT to a new population of participants and a different work task.",2020.0,2016,replication,failure,Our study did not replicate the findings of Henley et al. but did extend the HWT to a new population of participants and a different work task.,abstract,openalex
10.31234/osf.io/5y34g,10.1086/691462,,https://doi.org/10.1086/691462,"Ana C. Ruiz Pardo, John Paul Minda (2021) Reexamining the “Brain Drain” Effect: Does Ward et al. (2017) Replicate?.","Adrian F. Ward, Kristen Duke, Ayelet Gneezy, Maarten W. Bos (2017) Brain Drain: The Mere Presence of One’s Own Smartphone Reduces Available Cognitive Capacity. Journal of the Association for Consumer Research.","The present study was a pre-registered direct replication of Ward et al.’s (2017) second experiment (OSF pre-registration found at: https://osf.io/5fq4r). This replication assigned both smartphone location (on desk, in pocket/bag, or outside of the testing room) and smartphone power (on, or off) for a total of six conditions. Participants completed an automated operation span (OSpan) task, a cue-dependent go/no-go task, and the smartphone attachment and dependency inventory. It was hypothesized that performance on an attention-demanding task (i.e., the OSpan task) would be worse for those in closer proximity to their smartphone (on desk) and that those with greater smartphone attachment and dependency would have a larger “brain drain” effect. Using the same tasks and conditions as in Ward et al.’s (2017) second experiment, the present study found that the “brain drain” effect did not replicate: there was no difference between smartphone location conditions on performance on either the o-span task or the go/no-go task. These findings demonstrate that the mere presence of one’s smartphone may not be enough to affect cognitive performance. Understanding these effects is crucial in a time where smartphones are a basic necessity.",2021.0,2017,replication,failure,"Using the same tasks and conditions as in Ward et al.’s (2017) second experiment, the present study found that the “brain drain” effect did not replicate: there was no difference between smartphone location conditions on performance on either the o-span task or the go/no-go task.",abstract,openalex
