side,doi_r,url_r,doi_o,url_o,ref_r,ref_o,title_r,author_r,year_r,journal_r
both,https://aisel.aisnet.org/trr/vol6/iss1/13,,https://www.jstor.org/stable/26635045,https://doi.org/10.25300/misq/2018/13855,Masuch · 2020 · Journal of the Association for Information Systems,Moody · 2018,,,,
both,https://aisel.aisnet.org/trr/vol7/iss1/3,,https://aisel.aisnet.org/misq/vol39/iss4/9/,https://doi.org/10.1016/j.im.2015.06.009,Kumar · 2021 · UA Campus Repository (The University of Arizona),Han · 2015,,,,
r,https://aisel.aisnet.org/trr/vol7/iss1/3,https://aisel.aisnet.org/trr/vol7/iss1/3,10.1016/j.im.2015.06.009,https://doi.org/10.1016/j.im.2015.06.009,Kumar · 2021 · UA Campus Repository (The University of Arizona),"Pei‐Fang Hsu, HsiuJu Rebecca Yen, Jung-Ching Chung (2015) Assessing ERP post-implementation success at the individual level: Revisiting the role of service quality. Information & Management.",,,,
o,10.1017/s0958344023000034,,,,"Hye Won Shin, Sarah Sok (2023) Student satisfaction and perceived learning in an online second language learning environment: A replication of Gray and DiLoreto (2016). ReCALL.",Gray · 2016.0,,,,
r,https://aisel.aisnet.org/trr/vol6/iss1/13,,10.25300/misq/2018/13855,https://doi.org/10.25300/misq/2018/13855,Masuch · 2020 · Journal of the Association for Information Systems,Moody · 2018,,,,
